x_center,mean,sem,n_proteins
0.05,1.013452315251116,0.0011209816114532505,761
0.15000000000000002,1.0121437525677006,0.002605744317036388,684
0.25,1.019286852302997,0.0025206275196222737,696
0.35000000000000003,1.020403881652916,0.0028459666989232003,651
0.45,1.0188629807185485,0.0030109408387213737,642
0.55,1.0257984767081474,0.00340228533776066,566
0.6500000000000001,1.0300236605630382,0.003689296036692956,483
0.75,1.0250981269969246,0.004741651294309388,350
0.8500000000000001,1.0242782826762908,0.008286158280555645,128
0.95,1.0202111931628202,0.013780320858808892,28
